service,source_text,translated_text,reference_text,bleu_score,meteor_score,time_taken
deepl,Resumption of the session,Reanudación de la sesión,Reanudación del período de sesiones,0.07440995947486906,0.40816326530612246,0.19233465194702148
gemini,Resumption of the session,Reanudación del período de sesiones,Reanudación del período de sesiones,1.0,1.0,1.0655829906463623
groq,Resumption of the session,Reanudación de la sesión,Reanudación del período de sesiones,0.07440995947486906,0.40816326530612246,0.30646300315856934
deepl,"I declare resumed the session of the European Parliament adjourned on Friday 17 December 1999, and I would like once again to wish you a happy new year in the hope that you enjoyed a pleasant festive period.","Declaro reanudado el período de sesiones del Parlamento Europeo, interrumpido el viernes 17 de diciembre de 1999, y quisiera desearles una vez más un feliz año nuevo, con la esperanza de que hayan disfrutado de unas agradables fiestas.","Declaro reanudado el período de sesiones del Parlamento Europeo, interrumpido el viernes 17 de diciembre pasado, y reitero a Sus Señorías mi deseo de que hayan tenido unas buenas vacaciones.",0.4163602894220625,0.6784660766961652,0.26841092109680176
gemini,"I declare resumed the session of the European Parliament adjourned on Friday 17 December 1999, and I would like once again to wish you a happy new year in the hope that you enjoyed a pleasant festive period.","Declaro reanudada la sesión del Parlamento Europeo, suspendida el viernes 17 de diciembre de 1999, y quisiera una vez más desearles un feliz año nuevo, con la esperanza de que hayan disfrutado de un agradable periodo festivo.","Declaro reanudado el período de sesiones del Parlamento Europeo, interrumpido el viernes 17 de diciembre pasado, y reitero a Sus Señorías mi deseo de que hayan tenido unas buenas vacaciones.",0.1883680941302131,0.5325443786982248,0.79532790184021
groq,"I declare resumed the session of the European Parliament adjourned on Friday 17 December 1999, and I would like once again to wish you a happy new year in the hope that you enjoyed a pleasant festive period.","Declaro reanudada la sesión del Parlamento Europeo suspendida el viernes 17 de diciembre de 1999, y me gustaría una vez más desearte un feliz año nuevo con la esperanza de que hayas disfrutado de un agradable período festivo.","Declaro reanudado el período de sesiones del Parlamento Europeo, interrumpido el viernes 17 de diciembre pasado, y reitero a Sus Señorías mi deseo de que hayan tenido unas buenas vacaciones.",0.1469932896692712,0.5044510385756676,0.5512890815734863
deepl,"Although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a series of natural disasters that truly were dreadful.","Aunque, como habrán visto, el temido ""efecto 2000"" no llegó a materializarse, la población de varios países sufrió una serie de catástrofes naturales realmente terribles.","Como todos han podido comprobar, el gran ""efecto del año 2000"" no se ha producido. En cambio, los ciudadanos de varios de nuestros países han sido víctimas de catástrofes naturales verdaderamente terribles.",0.060881276673678965,0.4557640750670241,0.2526261806488037
gemini,"Although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a series of natural disasters that truly were dreadful.","Aunque, como habrán visto, el temido ""efecto 2000"" no se materializó, la gente de varios países sufrió una serie de desastres naturales que fueron verdaderamente terribles.","Como todos han podido comprobar, el gran ""efecto del año 2000"" no se ha producido. En cambio, los ciudadanos de varios de nuestros países han sido víctimas de catástrofes naturales verdaderamente terribles.",0.12224387108813115,0.481283422459893,1.25239896774292
groq,"Although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a series of natural disasters that truly were dreadful.","Aunque, como habrás visto, el temido 'error del milenio' no se materializó, aún así, la gente en varios países sufrió una serie de desastres naturales que realmente fueron terribles.","Como todos han podido comprobar, el gran ""efecto del año 2000"" no se ha producido. En cambio, los ciudadanos de varios de nuestros países han sido víctimas de catástrofes naturales verdaderamente terribles.",0.021234775016933313,0.37135278514588854,0.44162726402282715
deepl,"You have requested a debate on this subject in the course of the next few days, during this part-session.","Usted ha solicitado un debate sobre este tema en el transcurso de los próximos días, durante este periodo parcial de sesiones.","Sus Señorías han solicitado un debate sobre el tema para los próximos días, en el curso de este período de sesiones.",0.2869066874289222,0.6956521739130435,0.2202470302581787
