service,source_text,translated_text,reference_text,bleu_score,meteor_score,time_taken
deepl,Resumption of the session,Wiederaufnahme der Sitzung,Wiederaufnahme der Sitzungsperiode,0.24028114141347542,0.6666666666666666,0.1833951473236084
gemini,Resumption of the session,Wiederaufnahme der Sitzung,Wiederaufnahme der Sitzungsperiode,0.24028114141347542,0.6666666666666666,0.46488285064697266
groq,Resumption of the session,Wiederaufnahme der Sitzung,Wiederaufnahme der Sitzungsperiode,0.24028114141347542,0.6666666666666666,0.28524279594421387
deepl,"I declare resumed the session of the European Parliament adjourned on Friday 17 December 1999, and I would like once again to wish you a happy new year in the hope that you enjoyed a pleasant festive period.","Ich erkläre die am Freitag, dem 17. Dezember 1999, unterbrochene Sitzungsperiode des Europäischen Parlaments für wiederaufgenommen und möchte Ihnen noch einmal ein frohes neues Jahr wünschen, in der Hoffnung, daß Sie angenehme Festtage verbracht haben.","Ich erkläre die am Freitag, dem 17. Dezember unterbrochene Sitzungsperiode des Europäischen Parlaments für wiederaufgenommen, wünsche Ihnen nochmals alles Gute zum Jahreswechsel und hoffe, daß Sie schöne Ferien hatten.",0.4009795351710138,0.69164265129683,0.3214080333709717
gemini,"I declare resumed the session of the European Parliament adjourned on Friday 17 December 1999, and I would like once again to wish you a happy new year in the hope that you enjoyed a pleasant festive period.","Ich erkläre die am Freitag, dem 17. Dezember 1999, unterbrochene Sitzung des Europäischen Parlaments für wieder aufgenommen und möchte Ihnen nochmals ein glückliches neues Jahr wünschen und hoffe, Sie hatten eine angenehme Feiertagszeit.","Ich erkläre die am Freitag, dem 17. Dezember unterbrochene Sitzungsperiode des Europäischen Parlaments für wiederaufgenommen, wünsche Ihnen nochmals alles Gute zum Jahreswechsel und hoffe, daß Sie schöne Ferien hatten.",0.36568515186839895,0.6976744186046512,0.8836662769317627
groq,"I declare resumed the session of the European Parliament adjourned on Friday 17 December 1999, and I would like once again to wish you a happy new year in the hope that you enjoyed a pleasant festive period.","Ich erkläre die am Freitag, dem 17. Dezember 1999, unterbrochene Sitzungsperiode des Europäischen Parlaments für wiederaufgenommen und möchte Ihnen nochmals ein gutes neues Jahr wünschen in der Hoffnung, dass Sie eine angenehme Feiertagszeit verbracht haben.","Ich erkläre die am Freitag, dem 17. Dezember unterbrochene Sitzungsperiode des Europäischen Parlaments für wiederaufgenommen, wünsche Ihnen nochmals alles Gute zum Jahreswechsel und hoffe, daß Sie schöne Ferien hatten.",0.39777669561763374,0.7225433526011562,0.7959940433502197
deepl,"Although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a series of natural disasters that truly were dreadful.","Obwohl, wie Sie gesehen haben, der gefürchtete ""Millennium-Bug"" ausblieb, litten die Menschen in einer Reihe von Ländern dennoch unter einer Reihe von Naturkatastrophen, die wirklich schrecklich waren.","Wie Sie feststellen konnten, ist der gefürchtete ""Millenium-Bug "" nicht eingetreten. Doch sind Bürger einiger unserer Mitgliedstaaten Opfer von schrecklichen Naturkatastrophen geworden.",0.03462612267995555,0.335820895522388,0.2969949245452881
gemini,"Although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a series of natural disasters that truly were dreadful.","Obwohl, wie Sie gesehen haben, der gefürchtete „Millennium-Bug“ ausblieb, litten die Menschen in einer Reihe von Ländern dennoch unter einer Reihe von Naturkatastrophen, die wirklich schrecklich waren.","Wie Sie feststellen konnten, ist der gefürchtete ""Millenium-Bug "" nicht eingetreten. Doch sind Bürger einiger unserer Mitgliedstaaten Opfer von schrecklichen Naturkatastrophen geworden.",0.01583610518564545,0.2985074626865672,0.7605741024017334
groq,"Although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a series of natural disasters that truly were dreadful.","Obwohl, wie Sie gesehen haben, der gefürchtete ""Millennium-Bug"" nicht zum Tragen kam, litten dennoch die Menschen in einer Reihe von Ländern unter einer Serie von Naturkatastrophen, die wirklich schrecklich waren.","Wie Sie feststellen konnten, ist der gefürchtete ""Millenium-Bug "" nicht eingetreten. Doch sind Bürger einiger unserer Mitgliedstaaten Opfer von schrecklichen Naturkatastrophen geworden.",0.03264414736511547,0.3690036900369004,0.5367438793182373
deepl,"You have requested a debate on this subject in the course of the next few days, during this part-session.","Sie haben eine Aussprache zu diesem Thema im Laufe der nächsten Tage, während dieser Tagung, beantragt.",Im Parlament besteht der Wunsch nach einer Aussprache im Verlauf dieser Sitzungsperiode in den nächsten Tagen.,0.015936357366603364,0.3488372093023256,0.2160048484802246
