service,source_text,translated_text,reference_text,bleu_score,meteor_score,time_taken
deepl,Reanudación del período de sesiones,Resumption of the session,Resumption of the session,1.0,1.0,0.21620726585388184
gemini,Reanudación del período de sesiones,Resumption of the session,Resumption of the session,1.0,1.0,1.047602891921997
groq,Reanudación del período de sesiones,Resumption of the session period,Resumption of the session,0.668740304976422,0.975609756097561,0.30283117294311523
deepl,"Declaro reanudado el período de sesiones del Parlamento Europeo, interrumpido el viernes 17 de diciembre pasado, y reitero a Sus Señorías mi deseo de que hayan tenido unas buenas vacaciones.",I declare resumed the session of the European Parliament adjourned on Friday 17 December and I wish you a pleasant holiday.,"I declare resumed the session of the European Parliament adjourned on Friday 17 December 1999, and I would like once again to wish you a happy new year in the hope that you enjoyed a pleasant festive period.",0.32401328818230213,0.549738219895288,0.18604683876037598
gemini,"Declaro reanudado el período de sesiones del Parlamento Europeo, interrumpido el viernes 17 de diciembre pasado, y reitero a Sus Señorías mi deseo de que hayan tenido unas buenas vacaciones.","I declare resumed the session of the European Parliament, adjourned last Friday, 17 December, and I reiterate to you, Honourable Members, my wish that you have had a pleasant holiday.","I declare resumed the session of the European Parliament adjourned on Friday 17 December 1999, and I would like once again to wish you a happy new year in the hope that you enjoyed a pleasant festive period.",0.28708015028109596,0.6060606060606061,1.1746768951416016
groq,"Declaro reanudado el período de sesiones del Parlamento Europeo, interrumpido el viernes 17 de diciembre pasado, y reitero a Sus Señorías mi deseo de que hayan tenido unas buenas vacaciones.","I declare the session of the European Parliament resumed, which was interrupted on Friday, 17 December last, and I reiterate to Your Lordships my wish that you had a good holiday.","I declare resumed the session of the European Parliament adjourned on Friday 17 December 1999, and I would like once again to wish you a happy new year in the hope that you enjoyed a pleasant festive period.",0.20097029385020598,0.5569620253164557,0.439436674118042
deepl,"Como todos han podido comprobar, el gran ""efecto del año 2000"" no se ha producido. En cambio, los ciudadanos de varios de nuestros países han sido víctimas de catástrofes naturales verdaderamente terribles.","As you have all seen, the great ""Y2K bug"" has not happened. Instead, the citizens of several of our countries have been victims of truly terrible natural disasters.","Although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a series of natural disasters that truly were dreadful.",0.04227954081719332,0.4748603351955307,0.2509760856628418
gemini,"Como todos han podido comprobar, el gran ""efecto del año 2000"" no se ha producido. En cambio, los ciudadanos de varios de nuestros países han sido víctimas de catástrofes naturales verdaderamente terribles.","As everyone has been able to verify, the much-feared ""Year 2000 problem"" did not materialize.  Instead, citizens in several of our countries have been victims of truly terrible natural disasters.","Although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a series of natural disasters that truly were dreadful.",0.020708683301631173,0.3888888888888889,0.7131497859954834
groq,"Como todos han podido comprobar, el gran ""efecto del año 2000"" no se ha producido. En cambio, los ciudadanos de varios de nuestros países han sido víctimas de catástrofes naturales verdaderamente terribles.","As everyone has been able to verify, the great ""year 2000 effect"" has not occurred. Instead, the citizens of several of our countries have been victims of truly terrible natural disasters.","Although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a series of natural disasters that truly were dreadful.",0.020124752149761872,0.38781163434903054,0.39350175857543945
deepl,"Sus Señorías han solicitado un debate sobre el tema para los próximos días, en el curso de este período de sesiones.","Honourable Members have requested a debate on the subject in the next few days, in the course of this session.","You have requested a debate on this subject in the course of the next few days, during this part-session.",0.4781941702567777,0.8056872037914691,0.17565011978149414
gemini,"Sus Señorías han solicitado un debate sobre el tema para los próximos días, en el curso de este período de sesiones.","Their Lordships have requested a debate on the subject for the coming days, during this session.","You have requested a debate on this subject in the course of the next few days, during this part-session.",0.31254861744401535,0.6280193236714976,0.5482852458953857
groq,"Sus Señorías han solicitado un debate sobre el tema para los próximos días, en el curso de este período de sesiones.","Your Lordships have requested a debate on the subject for the coming days, during the course of this session.","You have requested a debate on this subject in the course of the next few days, during this part-session.",0.3023266713085592,0.7142857142857143,0.3535580635070801
deepl,"A la espera de que se produzca, de acuerdo con muchos colegas que me lo han pedido, pido que hagamos un minuto de silencio en memoria de todas las víctimas de las tormentas, en los distintos países de la Unión Europea afectados.","Pending this, in agreement with many colleagues who have asked me to do so, I would ask that we observe a minute's silence in memory of all the victims of the storms in the various countries of the European Union affected.","In the meantime, I should like to observe a minute' s silence, as a number of Members have requested, on behalf of all the victims concerned, particularly those of the terrible storms, in the various countries of the European Union.",0.2623968069223856,0.5555555555555555,0.24818086624145508
gemini,"A la espera de que se produzca, de acuerdo con muchos colegas que me lo han pedido, pido que hagamos un minuto de silencio en memoria de todas las víctimas de las tormentas, en los distintos países de la Unión Europea afectados.","While we await the event, and as many colleagues have requested, I ask that we observe a minute's silence in memory of all the victims of the storms in the various European Union countries affected.","In the meantime, I should like to observe a minute' s silence, as a number of Members have requested, on behalf of all the victims concerned, particularly those of the terrible storms, in the various countries of the European Union.",0.13523797527595163,0.5627705627705628,0.6585659980773926
