service,source_text,translated_text,reference_text,bleu_score,meteor_score,time_taken
deepl,Wiederaufnahme der Sitzungsperiode,Resumption of the session,Resumption of the session,1.0,1.0,0.3211538791656494
gemini,Wiederaufnahme der Sitzungsperiode,Resumption of the session,Resumption of the session,1.0,1.0,1.3376929759979248
groq,Wiederaufnahme der Sitzungsperiode,Resumption of the session,Resumption of the session,1.0,1.0,0.2887270450592041
deepl,"Ich erkläre die am Freitag, dem 17. Dezember unterbrochene Sitzungsperiode des Europäischen Parlaments für wiederaufgenommen, wünsche Ihnen nochmals alles Gute zum Jahreswechsel und hoffe, daß Sie schöne Ferien hatten.","I declare resumed the session of the European Parliament adjourned on Friday 17 December, wish you once again all the best for the New Year and hope that you had a good holiday.","I declare resumed the session of the European Parliament adjourned on Friday 17 December 1999, and I would like once again to wish you a happy new year in the hope that you enjoyed a pleasant festive period.",0.4105298948166863,0.7088607594936708,0.23327302932739258
gemini,"Ich erkläre die am Freitag, dem 17. Dezember unterbrochene Sitzungsperiode des Europäischen Parlaments für wiederaufgenommen, wünsche Ihnen nochmals alles Gute zum Jahreswechsel und hoffe, daß Sie schöne Ferien hatten.","I declare the session of the European Parliament adjourned on Friday, 17 December, resumed. I once again wish you all the best for the New Year and hope you had a pleasant holiday.","I declare resumed the session of the European Parliament adjourned on Friday 17 December 1999, and I would like once again to wish you a happy new year in the hope that you enjoyed a pleasant festive period.",0.28636058374800444,0.7304785894206549,1.2711291313171387
groq,"Ich erkläre die am Freitag, dem 17. Dezember unterbrochene Sitzungsperiode des Europäischen Parlaments für wiederaufgenommen, wünsche Ihnen nochmals alles Gute zum Jahreswechsel und hoffe, daß Sie schöne Ferien hatten.","I declare the session of the European Parliament, interrupted on Friday, 17 December, to be resumed, wish you once again all the best for the New Year and hope that you had a pleasant holiday.","I declare resumed the session of the European Parliament adjourned on Friday 17 December 1999, and I would like once again to wish you a happy new year in the hope that you enjoyed a pleasant festive period.",0.2213462222058488,0.7250000000000001,0.4066910743713379
deepl,"Wie Sie feststellen konnten, ist der gefürchtete ""Millenium-Bug "" nicht eingetreten. Doch sind Bürger einiger unserer Mitgliedstaaten Opfer von schrecklichen Naturkatastrophen geworden.","As you have seen, the dreaded ""millennium bug"" has not materialised. However, citizens of some of our member states have fallen victim to terrible natural disasters.","Although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a series of natural disasters that truly were dreadful.",0.1310743706592535,0.4775280898876404,0.3503601551055908
gemini,"Wie Sie feststellen konnten, ist der gefürchtete ""Millenium-Bug "" nicht eingetreten. Doch sind Bürger einiger unserer Mitgliedstaaten Opfer von schrecklichen Naturkatastrophen geworden.","As you may have noticed, the feared ""Millennium Bug"" did not materialize. However, citizens of some of our member states have fallen victim to terrible natural disasters.","Although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a series of natural disasters that truly were dreadful.",0.019864957350797876,0.4201680672268908,0.7030472755432129
groq,"Wie Sie feststellen konnten, ist der gefürchtete ""Millenium-Bug "" nicht eingetreten. Doch sind Bürger einiger unserer Mitgliedstaaten Opfer von schrecklichen Naturkatastrophen geworden.","As you may have noticed, the feared ""Millennium Bug"" did not occur, but citizens of some of our Member States have fallen victim to terrible natural disasters.","Although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a series of natural disasters that truly were dreadful.",0.019829471013242905,0.4213483146067416,0.4152987003326416
deepl,Im Parlament besteht der Wunsch nach einer Aussprache im Verlauf dieser Sitzungsperiode in den nächsten Tagen.,There is a desire in Parliament for a debate in the course of this session in the coming days.,"You have requested a debate on this subject in the course of the next few days, during this part-session.",0.15405702852824835,0.47846889952153104,0.21077203750610352
gemini,Im Parlament besteht der Wunsch nach einer Aussprache im Verlauf dieser Sitzungsperiode in den nächsten Tagen.,Parliament wishes to hold a debate in the course of this session in the coming days.,"You have requested a debate on this subject in the course of the next few days, during this part-session.",0.15289331961088026,0.5339805825242718,1.036363124847412
groq,Im Parlament besteht der Wunsch nach einer Aussprache im Verlauf dieser Sitzungsperiode in den nächsten Tagen.,There is a desire in Parliament for a debate to take place during the course of this session in the coming days.,"You have requested a debate on this subject in the course of the next few days, during this part-session.",0.06745485565867665,0.5660377358490566,0.31894707679748535
deepl,"Heute möchte ich Sie bitten - das ist auch der Wunsch einiger Kolleginnen und Kollegen -, allen Opfern der Stürme, insbesondere in den verschiedenen Ländern der Europäischen Union, in einer Schweigeminute zu gedenken.","Today I would like to ask you - and this is also the wish of some of my colleagues - to observe a minute's silence in memory of all the victims of the storms, particularly in the various countries of the European Union.","In the meantime, I should like to observe a minute' s silence, as a number of Members have requested, on behalf of all the victims concerned, particularly those of the terrible storms, in the various countries of the European Union.",0.31631200977924306,0.5970149253731343,0.4429817199707031
gemini,"Heute möchte ich Sie bitten - das ist auch der Wunsch einiger Kolleginnen und Kollegen -, allen Opfern der Stürme, insbesondere in den verschiedenen Ländern der Europäischen Union, in einer Schweigeminute zu gedenken.","Today I would like to ask you – this is also the wish of some colleagues – to observe a minute's silence in memory of all the victims of the storms, particularly in the various countries of the European Union.","In the meantime, I should like to observe a minute' s silence, as a number of Members have requested, on behalf of all the victims concerned, particularly those of the terrible storms, in the various countries of the European Union.",0.31585652291291283,0.6008583690987125,0.7578780651092529
groq,"Heute möchte ich Sie bitten - das ist auch der Wunsch einiger Kolleginnen und Kollegen -, allen Opfern der Stürme, insbesondere in den verschiedenen Ländern der Europäischen Union, in einer Schweigeminute zu gedenken.","Today, I would like to ask you - this is also the wish of some of my colleagues - to pay tribute to all the victims of the storms, particularly in the various countries of the European Union, in a minute of silence.","In the meantime, I should like to observe a minute' s silence, as a number of Members have requested, on behalf of all the victims concerned, particularly those of the terrible storms, in the various countries of the European Union.",0.2460120016620238,0.6170212765957447,0.43857812881469727
deepl,"Ich bitte Sie, sich zu einer Schweigeminute zu erheben.",I would ask you to stand for a minute's silence.,"Please rise, then, for this minute' s silence.",0.0428361950754725,0.3333333333333333,0.18187618255615234
gemini,"Ich bitte Sie, sich zu einer Schweigeminute zu erheben.",I ask you to rise for a moment of silence.,"Please rise, then, for this minute' s silence.",0.04328649145305472,0.33613445378151263,1.0231218338012695
groq,"Ich bitte Sie, sich zu einer Schweigeminute zu erheben.",I ask you to rise for a minute of silence.,"Please rise, then, for this minute' s silence.",0.04576989215762564,0.4201680672268908,0.3772928714752197
deepl,(Das Parlament erhebt sich zu einer Schweigeminute.),(Parliament stood for a minute's silence),(The House rose and observed a minute' s silence),0.05433625795460813,0.42735042735042744,0.32746005058288574
gemini,(Das Parlament erhebt sich zu einer Schweigeminute.),(The Parliament rises for a minute's silence.),(The House rose and observed a minute' s silence),0.05696822651325549,0.5042016806722689,0.5251598358154297
groq,(Das Parlament erhebt sich zu einer Schweigeminute.),The parliament rises for a minute of silence.,(The House rose and observed a minute' s silence),0.04321203546203566,0.3418803418803419,0.2759110927581787
deepl,"Frau Präsidentin, zur Geschäftsordnung.","Madam President, on a point of order.","Madam President, on a point of order.",1.0,1.0,0.19160175323486328
gemini,"Frau Präsidentin, zur Geschäftsordnung.","Madam President, on a point of order.","Madam President, on a point of order.",1.0,1.0,1.0288770198822021
groq,"Frau Präsidentin, zur Geschäftsordnung.","Madam President, on the order of business.","Madam President, on a point of order.",0.34329452398451965,0.7777777777777778,0.31033802032470703
deepl,"Wie Sie sicher aus der Presse und dem Fernsehen wissen, gab es in Sri Lanka mehrere Bombenexplosionen mit zahlreichen Toten.","As you probably know from the press and television, there have been several bomb explosions in Sri Lanka with numerous fatalities.",You will be aware from the press and television that there have been a number of bomb explosions and killings in Sri Lanka.,0.2656808889373409,0.6694560669456066,0.21546411514282227
